particle_id,id,type,material,x,y,z,radius,base_radius,radius_scale,density_scale
1,1,2,beryllium,0.38322498622495843,0.6661259816587691,0.6661710550979566,0.1,0.1,1.0,1.0
2,2,2,beryllium,0.9491806651812363,0.807650554317697,0.2415301108635394,0.1,0.1,1.0,1.0
3,3,2,beryllium,1.3737276611300877,0.807605806536975,0.666083618611544,0.1,0.1,1.0,1.0
4,4,1,breeder,1.373649993049484,0.24149776970542153,1.2322199147146713,0.1,0.1,1.0,1.0
5,5,1,breeder,0.8075406491140705,0.6661881373106571,0.5246463696664531,0.1,0.1,1.0,1.0
6,6,2,beryllium,0.6661352636434127,0.9493229429324695,1.2323354589365403,0.1,0.1,1.0,1.0
7,7,1,breeder,0.6661204434541576,0.807650554317697,1.6568312194989334,0.1,0.1,1.0,1.0
8,8,2,beryllium,0.38306022172707876,0.1,0.1,0.1,0.1,1.0,1.0
9,9,1,breeder,1.515301108635394,1.3737709977718546,1.6568312194989334,0.1,0.1,1.0,1.0
10,10,2,beryllium,0.8077233222119826,0.38307628176627423,0.8076780209937514,0.1,0.1,1.0,1.0
11,11,1,breeder,1.0907107760447758,1.2322408869083152,0.807650554317697,0.1,0.1,1.0,1.0
12,12,1,breeder,0.3831264296128181,0.8076317747321502,0.8077528253418109,0.1,0.1,1.0,1.0
13,13,1,breeder,1.6568312194989334,1.6568312194989334,0.9491806651812363,0.1,0.1,1.0,1.0
14,14,1,breeder,0.6661010977519715,1.0907751607103697,1.656606195855511,0.1,0.1,1.0,1.0
15,15,2,beryllium,1.515301108635394,0.2415301108635394,1.6568312194989334,0.1,0.1,1.0,1.0
16,16,2,beryllium,1.3739475574196947,1.0905931273551306,0.9492217408293341,0.1,0.1,1.0,1.0
17,17,1,breeder,1.3738110838845583,0.24161180549273534,0.3829898846412163,0.1,0.1,1.0,1.0
18,18,1,breeder,1.2321712419187207,1.6568026767999082,0.24139114030820033,0.1,0.1,1.0,1.0
19,19,2,beryllium,1.232187031613693,1.3737857305001866,1.3736484393849115,0.1,0.1,1.0,1.0
20,20,2,beryllium,0.5246841578234067,0.10018094871147985,0.5245514601161461,0.1,0.1,1.0,1.0
21,21,1,breeder,0.24149695706346683,1.5152290435918032,1.6568113748100533,0.1,0.1,1.0,1.0
22,22,1,breeder,1.090523857472954,1.5151930377951965,0.5246118498786593,0.1,0.1,1.0,1.0
23,23,1,breeder,0.5245057998813828,0.8075579177748057,1.2321138025453409,0.1,0.1,1.0,1.0
24,24,1,breeder,1.5151257646964753,1.3736290087797165,1.373744403976093,0.1,0.1,1.0,1.0
25,25,1,breeder,0.38306022172707876,0.5245903325906182,1.0907107760447758,0.1,0.1,1.0,1.0
26,26,1,breeder,1.3736623519752655,0.8077026037433145,1.515406462885189,0.1,0.1,1.0,1.0
27,27,1,breeder,1.0906813979248808,0.383118022982143,0.2415001918904287,0.1,0.1,1.0,1.0
28,28,2,beryllium,0.38299223696695384,0.8077134710250584,0.5244959067155313,0.1,0.1,1.0,1.0
29,29,1,breeder,0.3830365015034423,1.2322416519470423,0.3830932992876477,0.1,0.1,1.0,1.0
30,30,2,beryllium,0.1,1.3737709977718546,0.2415301108635394,0.1,0.1,1.0,1.0
31,31,1,breeder,0.5245903325906182,0.1,1.0907107760447758,0.1,0.1,1.0,1.0
32,32,2,beryllium,0.5245903325906182,0.1,0.807650554317697,0.1,0.1,1.0,1.0
33,33,2,beryllium,1.3739727985599153,1.2322904430835142,0.5244741715906511,0.1,0.1,1.0,1.0
